"Comment","Designator","Footprint","LCSC Part #"
"1uF","C1 C3 C4 C6","0603",""
"47uF","C2","0603",""
"4.7uF","C5","0603",""
"22uF","C7 C8 C16","0603",""
"0.1uF","C9 C10 C13 C14 C15","0603",""
"10uF","C11 C12","0603",""
"WS2812B-2020","D3 D4 D5","SMD,2x2mm","C965555"
"LED","D7 D8","0603","C5342734"
"USB_C_Receptacle_USB2.0_14P","J1","SMD","C2927038"
"Conn_01x04_Socket","J2","SMD,P=1.25mm","C189895"
"Conn_01x01_Socket","J5 J6","SMD","C2979182"
"Conn_01x06","J7 J9","","C131342"
"1uH","L2","1008","C139491"
"M3_threaded","MH1 MH2 MH3","-","C5301780"
"PMOS","Q1 Q2","SOT-23","C306862"
"5.1k","R1 R2","0603",""
"10k","R3 R8 R9 R14 R15 R16 R17 R20","0603",""
"2.94k","R4","0603",""
"4.32k","R5","0603",""
"47k","R6 R7","0603",""
"33k","R10","0603",""
"1k","R11","0603",""
"1.5k","R12 R18","0603",""
"560","R13","0603",""
"56.2k","R19","0603",""
"SW_Push","SW1 SW2 SW3","","C2689642"
"SW_DPDT_x2","SW4","","C431541"
"BQ24072RGT","U2","QFN-16-EP(3x3)","C140288"
"MIC5504-3.3YM5","U3","SOT-23-5","C88419"
"TPS613222ADBV","U4","SOT-23-5","C2070802"
"DRV8212P","U5 U6","WSON-8(2x2)","C5208051"
"LSM6DS3","U9","LGA-14(2.5x3)","C95230"
"ESP32-S3-MINI-1","U10","SMD-41P","C2913206"
