"Designator","Mid X","Mid Y","Layer","Rotation"
"C4","102.43mm","-113.69mm","top","0.0"
"C12","102.38mm","-115.7mm","top","0.0"
"MH1","163.52mm","-117.9mm","top","0.0"
"C7","126.01mm","-108.31mm","top","90.0"
"SW4","133.53mm","-138.875mm","top","0.0"
"J6","120.37mm","-136.35mm","top","90.0"
"R9","207mm","-111.6mm","top","90.0"
"U2","108.55mm","-123.6575mm","top","0.0"
"R4","104.86mm","-120.7775mm","top","90.0"
"R5","105.25mm","-128.0075mm","top","-90.0"
"C16","99.2675mm","-100.21mm","top","0.0"
"R15","191.51mm","-85.5775mm","top","90.0"
"R12","152.09mm","-138.03mm","top","-90.0"
"R19","104.37mm","-123.8575mm","top","180.0"
"R10","125.01mm","-98.17mm","top","90.0"
"R2","148.2mm","-131.6mm","top","0.0"
"R11","133.72mm","-133.89mm","top","180.0"
"L2","99.33mm","-123.81mm","top","0.0"
"C10","128.3925mm","-86.76mm","top","0.0"
"J1","145.2mm","-137.2mm","top","0.0"
"C14","206.0625mm","-109.2mm","top","180.0"
"R13","169.625mm","-137.54mm","top","-90.0"
"C8","125.93mm","-85.96mm","top","90.0"
"U5","126.73mm","-88.86mm","top","0.0"
"C1","103.31mm","-120.7775mm","top","-90.0"
"U10","200.18mm","-99.5mm","top","-90.0"
"C11","104.07mm","-117.3mm","top","0.0"
"R6","108.95mm","-108.5075mm","top","180.0"
"D7","153.833333mm","-138.0075mm","top","90.0"
"MH2","163.52mm","-81.9mm","top","0.0"
"R17","198.78mm","-88.97mm","top","-90.0"
"C5","108.7mm","-128.0175mm","top","90.0"
"C9","128.43mm","-109.28mm","top","0.0"
"J7","133.73mm","-83.27mm","top","-90.0"
"D8","157.32mm","-138.0075mm","top","90.0"
"U6","126.88mm","-111.26mm","top","0.0"
"SW2","103.58mm","-72.52mm","top","0.0"
"U9","187.51mm","-85.5775mm","top","-90.0"
"C6","110.38mm","-72.52mm","top","0.0"
"J9","133.73mm","-106.52mm","top","-90.0"
"C3","110.36mm","-113.7275mm","top","-90.0"
"SW1","103.58mm","-77.72mm","top","0.0"
"J5","120.37mm","-63.54mm","top","-90.0"
"D5","160.055mm","-137.94mm","top","180.0"
"R1","142.2mm","-131.6mm","top","180.0"
"C13","110.38mm","-77.72mm","top","180.0"
"D3","167.14mm","-137.99mm","top","180.0"
"Q2","104.39mm","-108.7775mm","top","-90.0"
"C2","110.14mm","-119.7875mm","top","-90.0"
"R3","107.06mm","-127.9975mm","top","-90.0"
"R16","194.63mm","-89mm","top","-90.0"
"R20","203.25mm","-87.6625mm","top","-90.0"
"R14","193.11mm","-85.5775mm","top","90.0"
"D4","163.64mm","-137.99mm","top","180.0"
"MH3","92.22mm","-99.9mm","top","0.0"
"R18","155.576666mm","-138.03mm","top","-90.0"
"U3","107.28mm","-113.4675mm","top","180.0"
"SW3","103.58mm","-82.92mm","top","0.0"
"R7","135.5mm","-135.5mm","top","180.0"
"U4","100.5975mm","-120.0575mm","top","270.0"
"C15","110.38mm","-82.92mm","top","180.0"
"J2","104.66mm","-100.04mm","top","90.0"
"Q1","107.6mm","-118.5375mm","top","90.0"
"R8","125mm","-94.25mm","top","90.0"
